id_reserva,fecha_reserva,dni_pasaporte,id_tour,monto_total
51,2026-05-26,CLI-1134,5,2070.0
52,2026-07-05,CLI-1197,1,2500.0
53,2026-06-14,CLI-1053,5,2185.0
54,2026-05-07,CLI-1003,5,2185.0
55,2026-06-22,CLI-1001,5,2070.0
56,2026-07-14,CLI-1071,1,2250.0
57,2026-05-10,CLI-1006,2,1800.0
58,2026-09-14,CLI-1159,1,2500.0
59,2026-05-27,CLI-1031,2,1620.0
60,2026-09-21,CLI-1081,4,1530.0
61,2026-08-27,CLI-1063,5,2185.0
62,2026-10-04,CLI-1119,4,1700.0
63,2026-04-23,CLI-1186,4,1700.0
64,2026-05-04,CLI-1133,3,1900.0
65,2026-07-11,CLI-1095,2,1800.0
66,2026-06-08,CLI-1048,3,1900.0
67,2026-08-27,CLI-1044,3,2000.0
68,2026-09-17,CLI-1084,3,1900.0
69,2026-05-02,CLI-1173,2,1710.0
70,2026-09-21,CLI-1004,4,1615.0
71,2026-05-01,CLI-1096,3,1800.0
72,2026-05-09,CLI-1056,4,1700.0
73,2026-09-01,CLI-1181,2,1800.0
74,2026-07-12,CLI-1097,2,1710.0
75,2026-05-28,CLI-1167,2,1710.0
76,2026-05-05,CLI-1020,2,1800.0
77,2026-07-01,CLI-1156,2,1710.0
78,2026-09-27,CLI-1170,2,1620.0
79,2026-05-20,CLI-1151,4,1530.0
80,2026-04-16,CLI-1009,2,1800.0
81,2026-07-07,CLI-1087,2,1620.0
82,2026-09-03,CLI-1152,1,2250.0
83,2026-06-09,CLI-1075,4,1615.0
84,2026-05-02,CLI-1144,5,2300.0
85,2026-07-30,CLI-1088,4,1615.0
86,2026-05-18,CLI-1132,5,2185.0
87,2026-09-18,CLI-1100,1,2500.0
88,2026-08-25,CLI-1073,3,1800.0
89,2026-05-06,CLI-1109,5,2300.0
90,2026-08-19,CLI-1111,4,1700.0
91,2026-08-30,CLI-1184,3,1800.0
92,2026-10-05,CLI-1131,3,1800.0
93,2026-09-16,CLI-1192,1,2375.0
94,2026-07-16,CLI-1011,2,1800.0
95,2026-07-04,CLI-1194,1,2500.0
96,2026-07-18,CLI-1089,1,2500.0
97,2026-08-04,CLI-1173,4,1615.0
98,2026-04-15,CLI-1178,2,1620.0
99,2026-05-31,CLI-1028,1,2500.0
100,2026-06-21,CLI-1109,1,2500.0
101,2026-09-28,CLI-1065,4,1615.0
102,2026-06-01,CLI-1098,4,1700.0
103,2026-04-19,CLI-1051,3,1900.0
104,2026-08-06,CLI-1058,1,2500.0
105,2026-05-16,CLI-1043,2,1800.0
106,2026-08-29,CLI-1182,1,2375.0
107,2026-04-19,CLI-1039,1,2375.0
108,2026-09-29,CLI-1028,4,1530.0
109,2026-06-21,CLI-1045,4,1615.0
110,2026-08-23,CLI-1124,5,2300.0
111,2026-08-03,CLI-1118,3,1800.0
112,2026-05-24,CLI-1131,5,2300.0
113,2026-09-19,CLI-1119,3,1900.0
114,2026-04-15,CLI-1035,5,2070.0
115,2026-07-25,CLI-1027,2,1710.0
116,2026-06-10,CLI-1145,2,1710.0
117,2026-05-23,CLI-1057,2,1800.0
118,2026-06-28,CLI-1192,5,2185.0
119,2026-08-29,CLI-1178,1,2250.0
120,2026-05-13,CLI-1140,3,1800.0
121,2026-06-24,CLI-1039,2,1800.0
122,2026-05-27,CLI-1135,4,1615.0
123,2026-05-02,CLI-1049,3,1800.0
124,2026-08-01,CLI-1078,1,2250.0
125,2026-05-07,CLI-1114,2,1620.0
126,2026-07-04,CLI-1177,3,1900.0
127,2026-04-22,CLI-1103,5,2185.0
128,2026-09-04,CLI-1079,4,1700.0
129,2026-07-09,CLI-1121,3,1800.0
130,2026-07-07,CLI-1001,5,2300.0
131,2026-07-23,CLI-1118,1,2375.0
132,2026-10-04,CLI-1136,5,2300.0
133,2026-07-09,CLI-1047,1,2500.0
134,2026-06-11,CLI-1063,1,2500.0
135,2026-09-02,CLI-1091,2,1620.0
136,2026-07-03,CLI-1146,1,2500.0
137,2026-07-12,CLI-1095,2,1800.0
138,2026-08-23,CLI-1110,3,1900.0
139,2026-06-21,CLI-1027,3,2000.0
140,2026-05-15,PA9988777,3,1800.0
141,2026-05-22,CLI-1009,3,2000.0
142,2026-04-21,CLI-1084,2,1800.0
143,2026-04-24,CLI-1056,2,1800.0
144,2026-07-26,CLI-1030,1,2500.0
145,2026-05-29,CLI-1089,4,1700.0
146,2026-05-26,CLI-1093,1,2250.0
147,2026-04-14,CLI-1049,2,1620.0
148,2026-05-05,CLI-1011,4,1615.0
149,2026-06-15,CLI-1001,4,1530.0
150,2026-09-02,CLI-1062,5,2185.0
151,2026-06-16,CLI-1075,5,2070.0
152,2026-09-28,CLI-1033,4,1615.0
153,2026-10-02,CLI-1119,1,2375.0
154,2026-06-24,CLI-1067,3,1900.0
155,2026-09-28,CLI-1013,1,2250.0
156,2026-08-02,CLI-1189,3,1900.0
157,2026-09-23,CLI-1008,5,2070.0
158,2026-06-20,CLI-1145,3,1900.0
159,2026-06-21,CLI-1025,3,2000.0
160,2026-09-17,CLI-1104,4,1615.0
161,2026-07-05,CLI-1161,2,1710.0
162,2026-05-10,CLI-1041,2,1800.0
163,2026-05-18,CLI-1135,5,2185.0
164,2026-07-31,CLI-1130,5,2300.0
165,2026-07-01,CLI-1146,2,1620.0
166,2026-04-15,CLI-1012,1,2375.0
167,2026-09-03,CLI-1058,2,1620.0
168,2026-09-24,CLI-1059,3,2000.0
169,2026-07-26,CLI-1098,4,1615.0
170,2026-10-08,CLI-1196,3,1800.0
171,2026-05-28,CLI-1182,2,1710.0
172,2026-05-28,CLI-1120,5,2070.0
173,2026-05-07,CLI-1088,3,1900.0
174,2026-09-06,CLI-1007,5,2185.0
175,2026-05-09,CLI-1165,4,1615.0
176,2026-09-01,CLI-1073,1,2250.0
177,2026-07-09,CLI-1079,2,1620.0
178,2026-05-13,CLI-1039,2,1620.0
179,2026-08-06,CLI-1198,1,2500.0
180,2026-06-24,CLI-1181,4,1700.0
181,2026-06-02,CLI-1196,1,2375.0
182,2026-07-13,CLI-1159,5,2185.0
183,2026-09-07,CLI-1126,3,1800.0
184,2026-05-14,CLI-1071,1,2500.0
185,2026-09-22,CLI-1071,1,2375.0
186,2026-04-15,CLI-1150,5,2070.0
187,2026-06-06,CLI-1020,5,2070.0
188,2026-09-15,CLI-1013,1,2375.0
189,2026-06-18,CLI-1004,1,2500.0
190,2026-10-05,CLI-1168,5,2185.0
191,2026-05-03,CLI-1068,3,2000.0
192,2026-06-08,CLI-1159,5,2185.0
193,2026-08-12,CLI-1040,3,2000.0
194,2026-09-24,CLI-1005,4,1700.0
195,2026-06-27,CLI-1122,2,1710.0
196,2026-05-25,CLI-1189,4,1700.0
197,2026-06-10,CLI-1182,5,2300.0
198,2026-07-05,CLI-1042,4,1700.0
199,2026-07-23,CLI-1161,1,2375.0
200,2026-06-29,CLI-1177,2,1800.0
201,2026-07-17,CLI-1085,2,1620.0
202,2026-09-17,CLI-1080,3,1900.0
203,2026-10-09,CLI-1072,2,1800.0
204,2026-10-04,CLI-1060,4,1700.0
205,2026-07-07,CLI-1009,4,1700.0
206,2026-09-25,CLI-1043,2,1620.0
207,2026-06-09,CLI-1103,3,1800.0
208,2026-10-06,CLI-1168,4,1530.0
209,2026-09-15,CLI-1108,2,1800.0
210,2026-05-05,CLI-1170,4,1700.0
211,2026-10-07,CLI-1069,2,1620.0
212,2026-06-16,CLI-1182,5,2070.0
213,2026-09-13,CLI-1121,4,1700.0
214,2026-05-29,CLI-1058,2,1800.0
215,2026-04-18,CLI-1124,1,2500.0
216,2026-04-13,CLI-1050,5,2300.0
217,2026-09-22,CLI-1060,3,2000.0
218,2026-07-02,CLI-1023,4,1700.0
219,2026-07-18,CLI-1016,2,1620.0
220,2026-06-16,CLI-1036,3,1900.0
221,2026-06-29,CLI-1095,4,1615.0
222,2026-06-26,CLI-1093,3,1900.0
223,2026-04-20,CLI-1147,4,1530.0
224,2026-06-10,CLI-1019,2,1620.0
225,2026-05-22,CLI-1042,2,1800.0
226,2026-04-20,CLI-1104,4,1615.0
227,2026-09-08,CLI-1197,4,1530.0
228,2026-06-28,CLI-1143,3,1800.0
229,2026-04-14,CLI-1113,4,1700.0
230,2026-08-16,CLI-1174,2,1620.0
231,2026-09-24,CLI-1100,1,2500.0
232,2026-06-14,CLI-1046,3,1900.0
233,2026-05-06,CLI-1136,1,2500.0
234,2026-08-15,CLI-1063,4,1530.0
235,2026-09-07,CLI-1152,1,2375.0
236,2026-04-12,CLI-1188,1,2250.0
237,2026-09-27,CLI-1116,5,2185.0
238,2026-08-19,CLI-1154,1,2500.0
239,2026-06-29,CLI-1110,4,1615.0
240,2026-08-24,CLI-1076,4,1615.0
241,2026-05-29,CLI-1102,2,1800.0
242,2026-06-21,CLI-1111,2,1800.0
243,2026-06-23,CLI-1057,4,1700.0
244,2026-08-19,CLI-1155,4,1700.0
245,2026-05-18,CLI-1023,4,1615.0
246,2026-08-31,CLI-1158,4,1615.0
247,2026-07-20,CLI-1059,4,1615.0
248,2026-08-02,CLI-1156,1,2250.0
249,2026-09-03,CLI-1139,4,1530.0
250,2026-08-20,CLI-1174,5,2070.0
251,2026-04-18,CLI-1156,3,2000.0
252,2026-08-28,CLI-1196,1,2500.0
253,2026-09-27,CLI-1039,1,2250.0
254,2026-10-09,CLI-1111,5,2185.0
255,2026-08-02,CLI-1194,3,1900.0
256,2026-08-19,CLI-1067,2,1710.0
257,2026-07-22,CLI-1057,1,2500.0
258,2026-08-10,CLI-1091,5,2185.0
259,2026-08-05,CLI-1023,1,2500.0
260,2026-05-04,CLI-1009,5,2300.0
261,2026-04-20,CLI-1047,3,1900.0
262,2026-06-15,CLI-1094,2,1800.0
263,2026-06-14,CLI-1031,2,1800.0
264,2026-07-11,CLI-1123,4,1615.0
265,2026-05-12,CLI-1110,2,1710.0
266,2026-07-26,CLI-1043,3,1800.0
267,2026-08-23,CLI-1180,1,2375.0
268,2026-07-04,CLI-1060,5,2070.0
269,2026-04-12,CLI-1044,3,1800.0
270,2026-06-05,CLI-1103,3,1800.0
271,2026-07-17,CLI-1037,1,2375.0
272,2026-06-10,CLI-1078,3,2000.0
273,2026-09-20,CLI-1050,4,1615.0
274,2026-07-27,CLI-1167,4,1615.0
275,2026-05-16,CLI-1143,4,1615.0
276,2026-05-07,CLI-1147,3,1800.0
277,2026-05-03,CLI-1068,1,2500.0
278,2026-05-15,CLI-1156,1,2250.0
279,2026-09-29,CLI-1142,4,1615.0
280,2026-09-26,CLI-1160,3,1800.0
281,2026-05-27,CLI-1070,4,1615.0
282,2026-10-08,CLI-1184,1,2250.0
283,2026-06-02,CLI-1003,4,1530.0
284,2026-08-18,CLI-1052,1,2500.0
285,2026-09-28,CLI-1085,4,1530.0
286,2026-04-19,CLI-1185,3,1800.0
287,2026-09-14,CLI-1141,1,2500.0
288,2026-05-24,CLI-1118,3,1800.0
289,2026-06-02,CLI-1168,3,1900.0
290,2026-05-25,CLI-1157,3,1800.0
291,2026-05-27,CLI-1075,1,2375.0
292,2026-05-14,CLI-1072,4,1530.0
293,2026-05-26,CLI-1004,5,2070.0
294,2026-04-24,CLI-1176,3,2000.0
295,2026-04-17,CLI-1157,1,2375.0
296,2026-04-26,CLI-1068,1,2500.0
297,2026-05-05,CLI-1096,2,1620.0
298,2026-09-29,CLI-1079,5,2185.0
299,2026-07-09,CLI-1001,5,2185.0
300,2026-07-20,CLI-1044,4,1615.0
301,2026-04-17,CLI-1013,1,2375.0
302,2026-06-20,CLI-1089,3,1800.0
303,2026-09-11,CLI-1188,4,1615.0
304,2026-05-18,CLI-1003,5,2185.0
305,2026-05-30,CLI-1140,4,1615.0
306,2026-06-16,CLI-1111,3,1900.0
307,2026-10-07,CLI-1106,1,2500.0
308,2026-04-26,CLI-1060,4,1700.0
309,2026-09-29,CLI-1173,4,1530.0
310,2026-05-27,CLI-1183,1,2375.0
311,2026-05-31,CLI-1020,4,1530.0
312,2026-06-22,CLI-1111,2,1710.0
313,2026-07-23,CLI-1053,4,1615.0
314,2026-04-30,CLI-1049,2,1710.0
315,2026-08-18,CLI-1091,3,2000.0
316,2026-04-14,CLI-1091,4,1530.0
317,2026-05-13,CLI-1143,1,2375.0
318,2026-06-08,CLI-1151,1,2500.0
319,2026-06-20,CLI-1067,2,1800.0
320,2026-08-19,CLI-1176,4,1530.0
321,2026-09-22,CLI-1110,3,1900.0
322,2026-05-21,CLI-1122,3,1800.0
323,2026-06-12,CLI-1164,4,1615.0
324,2026-06-21,CLI-1146,3,1800.0
325,2026-09-05,CLI-1037,1,2250.0
326,2026-07-24,CLI-1107,1,2500.0
327,2026-06-01,CLI-1013,4,1530.0
328,2026-07-29,CLI-1179,3,1900.0
329,2026-08-18,CLI-1111,2,1710.0
330,2026-06-22,CLI-1035,1,2375.0
331,2026-05-02,CLI-1112,5,2185.0
332,2026-04-16,CLI-1172,1,2375.0
333,2026-08-01,CLI-1174,3,2000.0
334,2026-10-02,CLI-1076,2,1620.0
335,2026-07-04,CLI-1160,5,2185.0
336,2026-08-11,CLI-1156,3,1800.0
337,2026-05-01,CLI-1195,2,1710.0
338,2026-08-13,CLI-1168,2,1710.0
339,2026-08-06,CLI-1093,1,2250.0
340,2026-08-29,CLI-1091,5,2185.0
341,2026-05-23,CLI-1053,5,2070.0
342,2026-09-03,CLI-1060,4,1615.0
343,2026-05-01,CLI-1167,2,1620.0
344,2026-08-23,CLI-1140,2,1620.0
345,2026-04-30,CLI-1159,2,1710.0
346,2026-07-29,CLI-1014,3,2000.0
347,2026-05-22,CLI-1102,2,1800.0
348,2026-08-28,CLI-1075,5,2185.0
349,2026-05-28,CLI-1079,4,1700.0
350,2026-09-09,CLI-1097,2,1710.0
351,2026-04-27,20444555k,2,1620.0
352,2026-10-05,CLI-1093,5,2300.0
353,2026-05-14,CLI-1035,2,1620.0
354,2026-08-11,CLI-1116,1,2375.0
355,2026-05-19,CLI-1087,1,2500.0
356,2026-05-21,CLI-1029,3,1900.0
357,2026-04-26,CLI-1083,2,1620.0
358,2026-07-24,CLI-1179,4,1530.0
359,2026-09-19,CLI-1007,3,1900.0
360,2026-09-22,CLI-1076,5,2070.0
361,2026-09-18,CLI-1063,2,1710.0
362,2026-04-19,CLI-1073,5,2300.0
363,2026-06-16,CLI-1182,3,2000.0
364,2026-09-08,CLI-1121,1,2500.0
365,2026-05-06,CLI-1183,4,1615.0
366,2026-08-07,CLI-1013,4,1700.0
367,2026-05-22,CLI-1182,3,2000.0
368,2026-07-03,CLI-1115,1,2500.0
369,2026-10-02,CLI-1174,5,2185.0
370,2026-07-07,CLI-1086,2,1620.0
371,2026-04-13,CLI-1107,1,2250.0
372,2026-08-30,CLI-1078,3,1800.0
373,2026-09-19,CLI-1088,5,2070.0
374,2026-04-28,CLI-1049,4,1615.0
375,2026-05-04,CLI-1144,1,2250.0
376,2026-06-21,CLI-1122,5,2185.0
377,2026-09-11,CLI-1008,3,1900.0
378,2026-06-14,CLI-1117,5,2185.0
379,2026-06-03,CLI-1003,1,2500.0
380,2026-08-02,CLI-1194,1,2500.0
381,2026-06-22,CLI-1143,2,1620.0
382,2026-08-26,CLI-1030,5,2300.0
383,2026-10-08,CLI-1023,1,2500.0
384,2026-06-22,CLI-1196,1,2375.0
385,2026-05-13,CLI-1182,3,1800.0
386,2026-04-30,CLI-1012,4,1700.0
387,2026-04-28,CLI-1173,5,2070.0
388,2026-10-05,CLI-1184,3,1900.0
389,2026-09-30,CLI-1124,3,1900.0
390,2026-06-11,CLI-1195,3,1900.0
391,2026-09-17,CLI-1085,3,2000.0
392,2026-04-12,CLI-1097,2,1620.0
393,2026-09-21,CLI-1185,5,2300.0
394,2026-06-18,CLI-1052,4,1530.0
395,2026-05-18,CLI-1032,3,1900.0
396,2026-09-24,CLI-1184,1,2500.0
397,2026-08-12,CLI-1083,4,1615.0
398,2026-08-12,CLI-1044,2,1620.0
399,2026-06-12,CLI-1091,2,1620.0
400,2026-09-09,CLI-1143,4,1700.0
401,2026-04-30,CLI-1036,5,2070.0
402,2026-10-04,CLI-1151,3,2000.0
403,2026-05-17,CLI-1124,1,2375.0
404,2026-09-26,CLI-1078,1,2375.0
405,2026-06-29,CLI-1096,3,1900.0
406,2026-04-14,CLI-1092,3,1900.0
407,2026-06-09,CLI-1113,1,2375.0
408,2026-05-07,CLI-1053,1,2375.0
409,2026-06-04,CLI-1101,1,2500.0
410,2026-06-01,CLI-1163,2,1710.0
411,2026-10-03,CLI-1127,3,2000.0
412,2026-08-19,CLI-1128,1,2375.0
413,2026-08-12,PA9988777,1,2375.0
414,2026-06-25,CLI-1006,5,2300.0
415,2026-04-30,181234567,1,2375.0
416,2026-05-17,CLI-1150,5,2185.0
417,2026-06-26,CLI-1198,5,2300.0
418,2026-10-09,CLI-1019,4,1530.0
419,2026-05-23,CLI-1091,2,1620.0
420,2026-09-15,CLI-1188,5,2185.0
421,2026-08-07,CLI-1128,5,2300.0
422,2026-08-21,CLI-1167,3,1800.0
423,2026-09-04,CLI-1013,2,1800.0
424,2026-09-25,CLI-1124,3,2000.0
425,2026-07-02,CLI-1176,3,1900.0
426,2026-09-28,CLI-1012,4,1615.0
427,2026-04-23,181234567,3,1800.0
428,2026-05-29,CLI-1077,4,1615.0
429,2026-08-15,CLI-1102,1,2375.0
430,2026-08-18,CLI-1076,3,2000.0
431,2026-07-09,CLI-1060,4,1615.0
432,2026-08-01,CLI-1072,4,1615.0
433,2026-04-20,CLI-1023,2,1800.0
434,2026-06-30,CLI-1186,3,2000.0
435,2026-09-28,CLI-1191,1,2250.0
436,2026-08-15,CLI-1057,3,1800.0
437,2026-09-23,CLI-1120,2,1620.0
438,2026-05-03,CLI-1121,5,2300.0
439,2026-05-14,CLI-1185,5,2070.0
440,2026-05-16,CLI-1053,3,1800.0
441,2026-08-19,CLI-1160,1,2375.0
442,2026-10-03,CLI-1022,5,2070.0
443,2026-07-27,CLI-1098,5,2300.0
444,2026-09-06,CLI-1135,1,2375.0
445,2026-07-27,CLI-1033,2,1620.0
446,2026-10-07,CLI-1079,3,2000.0
447,2026-09-03,CLI-1177,5,2300.0
448,2026-06-17,CLI-1178,5,2185.0
449,2026-07-15,CLI-1100,5,2185.0
450,2026-05-06,CLI-1198,5,2185.0
451,2026-05-01,CLI-1073,4,1615.0
452,2026-09-11,CLI-1117,5,2185.0
453,2026-05-14,CLI-1103,1,2375.0
454,2026-07-27,CLI-1078,1,2250.0
455,2026-06-16,CLI-1147,3,1800.0
456,2026-09-11,CLI-1110,2,1800.0
457,2026-04-14,CLI-1093,5,2185.0
458,2026-06-06,CLI-1192,3,2000.0
459,2026-05-05,CLI-1098,5,2070.0
460,2026-05-08,CLI-1056,5,2070.0
461,2026-07-03,CLI-1193,2,1800.0
462,2026-06-12,CLI-1004,3,2000.0
463,2026-05-18,20444555k,2,1800.0
464,2026-09-22,CLI-1148,4,1530.0
465,2026-08-23,CLI-1132,1,2250.0
466,2026-08-18,20444555k,4,1530.0
467,2026-06-26,CLI-1061,4,1615.0
468,2026-10-06,CLI-1040,5,2185.0
469,2026-05-12,CLI-1042,5,2070.0
470,2026-05-06,CLI-1182,2,1800.0
471,2026-08-04,CLI-1100,4,1615.0
472,2026-07-15,CLI-1176,2,1620.0
473,2026-09-28,CLI-1177,4,1530.0
474,2026-06-30,CLI-1151,2,1620.0
475,2026-07-27,CLI-1136,2,1800.0
476,2026-09-04,CLI-1185,5,2300.0
477,2026-04-20,CLI-1188,4,1615.0
478,2026-07-09,CLI-1135,1,2375.0
479,2026-05-09,CLI-1188,3,1800.0
480,2026-05-12,CLI-1164,2,1800.0
481,2026-05-07,CLI-1053,3,1900.0
482,2026-07-31,CLI-1001,4,1530.0
483,2026-09-13,CLI-1048,5,2185.0
484,2026-06-26,CLI-1061,2,1620.0
485,2026-08-17,CLI-1058,4,1700.0
486,2026-05-01,CLI-1158,4,1615.0
487,2026-04-30,CLI-1182,5,2185.0
488,2026-09-25,CLI-1002,4,1700.0
489,2026-04-14,CLI-1047,1,2375.0
490,2026-10-01,CLI-1005,2,1800.0
491,2026-04-18,CLI-1195,5,2185.0
492,2026-10-03,CLI-1182,5,2185.0
493,2026-05-10,CLI-1192,3,2000.0
494,2026-05-08,CLI-1011,1,2250.0
495,2026-09-29,CLI-1012,3,1900.0
496,2026-06-17,CLI-1102,1,2250.0
497,2026-07-26,CLI-1149,3,2000.0
498,2026-04-29,CLI-1079,5,2185.0
499,2026-08-25,CLI-1022,5,2070.0
500,2026-07-20,CLI-1079,4,1530.0
